age,foundation_type,roof_type,position,label,loc_id,num_floors,area,height,num_families,ownership_type,configuration,surface_condition
10,w,q,s,0,7,2,9,4,0,v,d,t
90,r,q,s,1,27,3,16,7,0,v,d,t
40,r,q,s,1,13,2,5,6,1,v,d,n
30,r,q,s,1,7,2,5,5,1,v,d,t
0,r,q,s,1,21,3,6,6,1,v,d,t
10,r,n,s,1,17,1,8,3,1,v,d,t
5,w,n,s,0,26,1,4,3,1,v,d,n
15,r,n,s,1,17,3,10,6,1,v,d,t
15,r,n,s,1,10,1,5,4,1,v,d,t
10,r,q,s,1,8,2,8,6,1,v,d,t
15,r,q,s,0,15,2,8,4,1,v,d,t
40,w,q,s,0,20,1,9,4,1,v,d,t
10,r,n,j,1,17,2,5,4,1,v,d,t
30,r,q,j,1,17,3,5,8,1,v,d,o
0,i,x,t,0,26,3,18,10,1,v,d,t
5,r,n,s,1,6,2,6,5,1,v,d,t
0,r,n,s,1,17,1,6,2,1,v,d,o
15,r,q,s,1,21,3,6,7,2,v,d,t
15,r,n,t,1,7,2,5,4,1,v,d,t
50,r,q,s,1,8,2,7,6,1,v,d,t
10,r,q,s,1,4,2,7,5,1,v,d,t
25,w,n,s,1,21,1,3,2,1,v,q,t
35,r,q,t,1,17,2,7,5,0,v,q,t
5,w,n,s,0,26,1,2,2,1,a,d,t
5,h,n,s,0,21,1,5,2,1,v,d,n
5,r,n,j,0,26,1,9,3,1,v,d,n
20,r,n,s,1,13,2,2,3,1,v,d,t
20,r,n,s,1,17,3,2,32,1,v,d,t
20,r,n,s,1,17,3,23,8,2,v,d,t
15,r,n,s,1,3,2,8,5,1,v,d,t
20,r,n,t,1,18,1,7,3,1,v,q,t
5,r,n,s,1,10,2,7,5,1,v,d,t
0,i,x,s,0,26,4,18,13,1,v,d,t
20,r,n,s,1,8,3,5,8,1,v,d,t
0,u,x,s,0,26,1,19,3,0,v,d,n
10,r,n,s,0,16,2,7,5,1,v,d,t
15,r,n,s,1,17,3,13,7,1,r,q,t
20,r,n,t,1,10,2,7,5,1,v,d,t
5,i,x,t,0,3,2,10,7,0,v,d,t
10,r,n,s,1,17,2,11,5,1,v,d,t
15,w,q,s,0,20,2,15,6,1,v,o,t
20,r,n,t,1,11,2,8,5,1,v,d,n
5,r,n,s,1,9,2,4,5,1,v,d,t
10,r,q,s,1,4,3,9,6,1,v,d,t
0,i,x,s,0,7,2,11,5,1,v,d,t
30,r,n,j,1,18,3,23,10,1,v,d,t
10,r,n,t,1,17,3,8,7,1,v,d,t
20,r,q,s,1,21,2,10,5,1,v,d,t
30,r,q,s,1,17,3,7,8,1,v,d,t
10,i,x,s,0,6,2,9,5,1,v,d,t
15,r,n,t,1,7,2,7,5,1,v,d,t
50,r,n,s,1,27,1,2,3,1,v,d,t
10,i,x,s,0,7,2,30,7,0,v,d,t
25,r,n,s,1,8,1,9,2,1,v,d,t
30,r,n,t,1,18,2,5,5,1,v,d,n
15,r,q,s,1,17,2,6,7,1,v,d,t
20,r,q,s,1,10,2,7,6,1,v,d,t
20,r,n,t,0,11,2,20,6,0,v,d,t
0,u,x,s,0,6,1,8,3,0,v,d,t
35,w,n,s,1,26,2,7,4,1,v,d,t
0,r,n,s,1,7,2,8,4,1,v,d,t
15,r,q,s,1,21,3,4,7,2,v,d,t
15,r,n,s,1,7,2,7,5,1,v,d,n
15,r,n,t,1,17,2,7,5,1,v,d,t
40,r,n,s,1,7,2,8,4,1,v,d,t
0,r,n,s,1,17,1,8,3,1,v,d,n
40,r,n,s,1,10,2,6,6,1,v,d,t
15,r,q,t,1,8,3,5,7,1,v,d,o
35,r,q,s,1,21,2,6,4,1,v,d,n
0,r,n,s,1,10,1,6,3,1,v,d,t
25,r,n,t,1,27,3,7,7,1,v,d,t
50,r,n,s,1,25,2,2,4,1,v,d,t
10,r,n,s,1,4,2,3,5,1,v,d,t
5,r,n,t,1,8,2,5,4,1,v,d,t
150,r,n,o,1,3,5,4,11,1,v,d,t
20,r,n,t,1,6,1,4,2,1,v,d,t
25,r,q,s,1,17,3,10,6,1,v,d,t
5,r,n,t,1,7,2,5,5,2,w,d,t
50,r,n,s,1,27,2,11,6,1,v,d,t
35,r,n,s,1,1,3,9,6,1,v,d,t
65,r,q,s,1,7,2,6,6,1,v,d,t
20,u,n,t,1,17,3,6,6,1,v,d,t
80,r,q,s,1,11,3,10,8,1,v,d,t
20,r,n,t,1,11,2,7,5,1,v,d,t
15,u,n,s,1,8,2,6,5,1,v,d,t
